Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.421486	Node12	0	171	FullDelay	0.378736	378736	2	3
0.430054	Node12	0	1006	LastDelay	0.132554	132554	1	3
0.430054	Node12	0	1006	FullDelay	0.132554	132554	1	3
0.438614	Node12	0	225	LastDelay	0.132614	132614	1	3
0.438614	Node12	0	225	FullDelay	0.382364	382364	2	3
0.447182	Node12	0	260	LastDelay	0.132682	132682	1	3
0.447182	Node12	0	260	FullDelay	0.382182	382182	2	3
0.45575	Node12	0	296	LastDelay	0.1325	132500	1	3
0.45575	Node12	0	296	FullDelay	0.38175	381750	2	3
0.464318	Node12	0	330	LastDelay	0.132818	132818	1	3
0.464318	Node12	0	330	FullDelay	0.381818	381818	2	3
0.472886	Node12	0	366	LastDelay	0.132636	132636	1	3
0.472886	Node12	0	366	FullDelay	0.381386	381386	2	3
0.481454	Node12	0	1017	LastDelay	0.132454	132454	1	3
0.481454	Node12	0	1017	FullDelay	0.132454	132454	1	3
0.490022	Node12	0	431	LastDelay	0.132772	132772	1	3
0.490022	Node12	0	431	FullDelay	0.382272	382272	2	3
0.49859	Node12	0	467	LastDelay	0.13259	132590	1	3
0.49859	Node12	0	467	FullDelay	0.38184	381840	2	3
0.507158	Node12	0	502	LastDelay	0.132658	132658	1	3
0.507158	Node12	0	502	FullDelay	0.381658	381658	2	3
0.515726	Node12	0	537	LastDelay	0.132726	132726	1	3
0.515726	Node12	0	537	FullDelay	0.381476	381476	2	3
0.524294	Node12	0	574	LastDelay	0.132544	132544	1	3
0.524294	Node12	0	574	FullDelay	0.380794	380794	2	3
0.532862	Node12	0	602	LastDelay	0.132612	132612	1	3
0.532862	Node12	0	602	FullDelay	0.382362	382362	2	3
0.54143	Node12	0	637	LastDelay	0.13268	132680	1	3
0.54143	Node12	0	637	FullDelay	0.38218	382180	2	3
0.549998	Node12	0	672	LastDelay	0.132748	132748	1	3
0.549998	Node12	0	672	FullDelay	0.381998	381998	2	3
0.558566	Node12	0	708	LastDelay	0.132566	132566	1	3
0.558566	Node12	0	708	FullDelay	0.381566	381566	2	3
0.567134	Node12	0	742	LastDelay	0.132884	132884	1	3
0.567134	Node12	0	742	FullDelay	0.381634	381634	2	3
0.575702	Node12	0	778	LastDelay	0.132702	132702	1	3
0.575702	Node12	0	778	FullDelay	0.381202	381202	2	3
0.58427	Node12	0	807	LastDelay	0.13252	132520	1	3
0.58427	Node12	0	807	FullDelay	0.38252	382520	2	3
0.592838	Node12	0	841	LastDelay	0.132838	132838	1	3
0.592838	Node12	0	841	FullDelay	0.382588	382588	2	3
0.601406	Node12	0	877	LastDelay	0.132656	132656	1	3
0.601406	Node12	0	877	FullDelay	0.382156	382156	2	3
0.609974	Node12	0	913	LastDelay	0.132474	132474	1	3
0.609974	Node12	0	913	FullDelay	0.381724	381724	2	3
0.618542	Node12	0	947	LastDelay	0.132792	132792	1	3
0.618542	Node12	0	947	FullDelay	0.381792	381792	2	3
0.62711	Node12	0	983	LastDelay	0.13261	132610	1	3
0.62711	Node12	0	983	FullDelay	0.38136	381360	2	3
0.63567	Node12	0	25	LastDelay	0.13242	132420	1	3
0.63567	Node12	0	25	FullDelay	0.62942	629420	3	3
0.64423	Node12	0	60	LastDelay	0.13273	132730	1	3
0.64423	Node12	0	60	FullDelay	0.62923	629230	3	3
0.65279	Node12	0	98	LastDelay	0.13254	132540	1	3
0.65279	Node12	0	98	FullDelay	0.62829	628290	3	3
0.66135	Node12	0	134	LastDelay	0.1326	132600	1	3
0.66135	Node12	0	134	FullDelay	0.62785	627850	3	3
0.66991	Node12	0	172	LastDelay	0.13241	132410	1	3
0.66991	Node12	0	172	FullDelay	0.62691	626910	3	3
0.678478	Node12	0	1005	LastDelay	0.132478	132478	1	3
0.678478	Node12	0	1005	FullDelay	0.381228	381228	2	3
0.687046	Node12	0	1063	LastDelay	0.132546	132546	1	3
0.687046	Node12	0	1063	FullDelay	0.132546	132546	1	3
0.695614	Node12	0	1097	LastDelay	0.132614	132614	1	3
0.695614	Node12	0	1097	FullDelay	0.132614	132614	1	3
0.704182	Node12	0	1131	LastDelay	0.132682	132682	1	3
0.704182	Node12	0	1131	FullDelay	0.132682	132682	1	3
0.71275	Node12	0	1165	LastDelay	0.13275	132750	1	3
0.71275	Node12	0	1165	FullDelay	0.13275	132750	1	3
0.721318	Node12	0	1200	LastDelay	0.132568	132568	1	3
0.721318	Node12	0	1200	FullDelay	0.132568	132568	1	3
0.729886	Node12	0	1234	LastDelay	0.132636	132636	1	3
0.729886	Node12	0	1234	FullDelay	0.132636	132636	1	3
0.738454	Node12	0	1268	LastDelay	0.132704	132704	1	3
0.738454	Node12	0	1268	FullDelay	0.132704	132704	1	3
0.747022	Node12	0	1303	LastDelay	0.132522	132522	1	3
0.747022	Node12	0	1303	FullDelay	0.132522	132522	1	3
0.75559	Node12	0	1336	LastDelay	0.13284	132840	1	3
0.75559	Node12	0	1336	FullDelay	0.13284	132840	1	3
0.764158	Node12	0	1371	LastDelay	0.132658	132658	1	3
0.764158	Node12	0	1371	FullDelay	0.132658	132658	1	3
0.772726	Node12	0	1405	LastDelay	0.132726	132726	1	3
0.772726	Node12	0	1405	FullDelay	0.132726	132726	1	3
0.781294	Node12	0	1439	LastDelay	0.132794	132794	1	3
0.781294	Node12	0	1439	FullDelay	0.132794	132794	1	3
0.789862	Node12	0	1474	LastDelay	0.132612	132612	1	3
0.789862	Node12	0	1474	FullDelay	0.132612	132612	1	3
0.79843	Node12	0	1508	LastDelay	0.13268	132680	1	3
0.79843	Node12	0	1508	FullDelay	0.13268	132680	1	3
0.806998	Node12	0	1542	LastDelay	0.132748	132748	1	3
0.806998	Node12	0	1542	FullDelay	0.132748	132748	1	3
0.815566	Node12	0	1576	LastDelay	0.132816	132816	1	3
0.815566	Node12	0	1576	FullDelay	0.132816	132816	1	3
0.824134	Node12	0	1611	LastDelay	0.132634	132634	1	3
0.824134	Node12	0	1611	FullDelay	0.132634	132634	1	3
0.832694	Node12	0	12	LastDelay	0.132444	132444	1	3
0.832694	Node12	0	12	FullDelay	0.829694	829694	4	3
0.841254	Node12	0	237	LastDelay	0.132504	132504	1	3
0.841254	Node12	0	237	FullDelay	0.782004	782004	3	3
0.849822	Node12	0	272	LastDelay	0.132822	132822	1	3
0.849822	Node12	0	272	FullDelay	0.781822	781822	3	3
0.85839	Node12	0	309	LastDelay	0.13264	132640	1	3
0.85839	Node12	0	309	FullDelay	0.78114	781140	3	3
0.866958	Node12	0	345	LastDelay	0.132708	132708	1	3
0.866958	Node12	0	345	FullDelay	0.780708	780708	3	3
0.875526	Node12	0	381	LastDelay	0.132776	132776	1	3
0.875526	Node12	0	381	FullDelay	0.780276	780276	3	3
0.884086	Node12	0	19	LastDelay	0.132586	132586	1	3
0.884086	Node12	0	19	FullDelay	0.879336	879336	4	3
0.892646	Node12	0	56	LastDelay	0.132646	132646	1	3
0.892646	Node12	0	56	FullDelay	0.878646	878646	4	3
0.901206	Node12	0	94	LastDelay	0.132456	132456	1	3
0.901206	Node12	0	94	FullDelay	0.877706	877706	4	3
